timestamp,asset_id,metric_name,value,unit
2026-02-21 12:00:27.578268,gateway-1,latency,5.0,ms
2026-02-21 12:00:49.824055,gateway-1,latency,3.0,ms
2026-02-21 12:01:11.849259,gateway-1,latency,2.0,ms
2026-02-21 12:01:33.931882,gateway-1,latency,2.0,ms
2026-02-21 12:01:55.955366,gateway-1,latency,1.0,ms
2026-02-21 12:02:18.061163,gateway-1,latency,2.0,ms
2026-02-21 12:02:39.982331,gateway-1,latency,5.0,ms
2026-02-21 12:03:01.906025,gateway-1,latency,6.0,ms
2026-02-21 12:03:23.870500,gateway-1,latency,4.0,ms
2026-02-21 12:03:45.816197,gateway-1,latency,4.0,ms
2026-02-21 12:04:07.988118,gateway-1,latency,2.0,ms
2026-02-21 12:04:29.936904,gateway-1,latency,2.0,ms
2026-02-21 12:04:51.765373,gateway-1,latency,2.0,ms
2026-02-21 12:05:13.653377,gateway-1,latency,6.0,ms
2026-02-21 12:05:35.602637,gateway-1,latency,2.0,ms
2026-02-21 12:05:57.562365,gateway-1,latency,3.0,ms
2026-02-21 12:06:19.574442,gateway-1,latency,6.0,ms
2026-02-21 12:06:41.525191,gateway-1,latency,4.0,ms
2026-02-21 12:07:03.274116,gateway-1,latency,3.0,ms
2026-02-21 12:07:25.196989,gateway-1,latency,5.0,ms
2026-02-21 12:07:47.172062,gateway-1,latency,6.0,ms
2026-02-21 12:08:08.976319,gateway-1,latency,5.0,ms
2026-02-21 12:08:30.939244,gateway-1,latency,3.0,ms
2026-02-21 12:08:52.976442,gateway-1,latency,3.0,ms
2026-02-21 12:09:14.882300,gateway-1,latency,6.0,ms
2026-02-21 12:09:36.917558,gateway-1,latency,2.0,ms
2026-02-21 12:09:58.716249,gateway-1,latency,4.0,ms
2026-02-21 12:10:20.638777,gateway-1,latency,4.0,ms
2026-02-21 12:10:42.454966,gateway-1,latency,2.0,ms
2026-02-21 12:11:04.369406,gateway-1,latency,2.0,ms
2026-02-21 12:11:26.405800,gateway-1,latency,2.0,ms
2026-02-21 12:11:48.298716,gateway-1,latency,1.0,ms
2026-02-21 12:12:10.289939,gateway-1,latency,4.0,ms
2026-02-21 12:12:32.067053,gateway-1,latency,4.0,ms
2026-02-21 12:12:53.930625,gateway-1,latency,2.0,ms
2026-02-21 12:13:15.867330,gateway-1,latency,2.0,ms
2026-02-21 12:13:37.679041,gateway-1,latency,2.0,ms
2026-02-21 12:13:59.655907,gateway-1,latency,5.0,ms
2026-02-21 12:14:21.510490,gateway-1,latency,3.0,ms
2026-02-21 12:14:43.660832,gateway-1,latency,4.0,ms
2026-02-21 12:15:05.583742,gateway-1,latency,2.0,ms
2026-02-21 12:15:27.635629,gateway-1,latency,2.0,ms
2026-02-21 12:15:49.451908,gateway-1,latency,8.0,ms
2026-02-21 12:16:11.275850,gateway-1,latency,3.0,ms
2026-02-21 12:16:33.275667,gateway-1,latency,2.0,ms
