timestamp,asset_id,metric_name,value,unit
2024-01-01 00:00:00,core-sw,latency,5.08,ms
2024-01-01 00:00:00,core-sw,packet_loss,0.086,percent
2024-01-01 00:00:00,core-sw,crc_error,0.047,count
2024-01-01 00:00:00,core-sw,snr_db,38.39,dB
2024-01-01 00:00:00,core-sw,throughput,893.1,Mbps
2024-01-01 00:00:00,dist-sw,latency,5.86,ms
2024-01-01 00:00:00,dist-sw,packet_loss,0.107,percent
2024-01-01 00:00:00,dist-sw,crc_error,0.025,count
2024-01-01 00:00:00,dist-sw,snr_db,38.75,dB
2024-01-01 00:00:00,dist-sw,throughput,919.9,Mbps
2024-01-01 00:00:00,edge-sw-a,latency,4.12,ms
2024-01-01 00:00:00,edge-sw-a,packet_loss,0.105,percent
2024-01-01 00:00:00,edge-sw-a,crc_error,0.021,count
2024-01-01 00:00:00,edge-sw-a,snr_db,37.09,dB
2024-01-01 00:00:00,edge-sw-a,throughput,908.0,Mbps
2024-01-01 00:00:00,edge-sw-b,latency,4.4,ms
2024-01-01 00:00:00,edge-sw-b,packet_loss,0.128,percent
2024-01-01 00:00:00,edge-sw-b,crc_error,0.013,count
2024-01-01 00:00:00,edge-sw-b,snr_db,39.04,dB
2024-01-01 00:00:00,edge-sw-b,throughput,903.1,Mbps
2024-01-01 00:00:00,plc-1,latency,14.92,ms
2024-01-01 00:00:00,plc-1,packet_loss,0.157,percent
2024-01-01 00:00:00,plc-1,crc_error,0.026,count
2024-01-01 00:00:00,plc-1,snr_db,37.28,dB
2024-01-01 00:00:00,plc-1,throughput,908.5,Mbps
2024-01-01 00:00:00,plc-2,latency,15.97,ms
2024-01-01 00:00:00,plc-2,packet_loss,0.075,percent
2024-01-01 00:00:00,plc-2,crc_error,0.013,count
2024-01-01 00:00:00,plc-2,snr_db,38.73,dB
2024-01-01 00:00:00,plc-2,throughput,904.7,Mbps
2024-01-01 00:00:00,hmi-1,latency,13.02,ms
2024-01-01 00:00:00,hmi-1,packet_loss,0.087,percent
2024-01-01 00:00:00,hmi-1,crc_error,0.013,count
2024-01-01 00:00:00,hmi-1,snr_db,37.67,dB
2024-01-01 00:00:00,hmi-1,throughput,897.1,Mbps
